FDX_x,FDX_y
2019-01-02,158.520004,163.380005,157.570007,163.190002,161.308823,2125700
2019-01-03,161.789993,163.070007,156.960007,157.190002,155.377991,3033300
2019-01-04,160.199997,164.979996,159.500000,164.429993,162.534531,2938600
2019-01-07,164.889999,166.850006,162.149994,166.729996,164.808014,2989400
2019-01-08,168.699997,169.419998,165.309998,167.020004,165.094696,2610700
2019-01-09,167.649994,171.220001,167.100006,170.589996,168.623520,2750900
2019-01-10,169.070007,170.619995,167.929993,170.119995,168.158936,1958500
2019-01-11,169.490005,171.139999,167.199997,170.990005,169.018921,2836400
2019-01-14,169.869995,173.100006,169.119995,171.550003,169.572464,2225000
2019-01-15,171.470001,172.649994,169.020004,170.630005,168.663071,2165400
2019-01-16,171.190002,174.229996,170.940002,171.360001,169.384644,2342800
2019-01-17,170.960007,175.000000,170.729996,173.270004,171.272629,1789700
2019-01-18,175.179993,179.190002,174.550003,176.910004,174.870682,3072100
2019-01-22,176.309998,176.720001,174.020004,175.899994,173.872299,2105900
2019-01-23,176.839996,177.080002,171.279999,173.679993,171.677887,1853100
2019-01-24,173.369995,174.279999,171.789993,174.100006,172.093063,1630100
2019-01-25,175.889999,177.559998,174.100006,175.360001,173.338531,1968600
2019-01-28,173.500000,174.330002,171.710007,173.960007,171.954681,1355500
2019-01-29,174.000000,174.300003,172.520004,173.580002,171.579056,1090200
2019-01-30,175.119995,178.229996,173.160004,177.470001,175.424210,1562700
2019-01-31,178.710007,178.710007,176.580002,177.570007,175.523071,1865100
2019-02-01,178.300003,180.119995,178.059998,179.309998,177.243011,1812500
2019-02-04,179.190002,182.740005,178.300003,182.729996,180.623566,1694700
2019-02-05,183.000000,184.320007,182.080002,183.729996,181.612045,1670800
2019-02-06,183.389999,185.029999,182.860001,183.809998,181.691116,1485300
2019-02-07,182.770004,183.440002,179.949997,181.369995,179.279251,1853700
2019-02-08,180.039993,180.179993,173.770004,177.240005,175.196869,2461400
2019-02-11,177.800003,181.240005,177.649994,181.089996,179.002487,1644700
2019-02-12,182.630005,186.229996,181.949997,185.449997,183.312225,1819500
2019-02-13,186.100006,187.039993,185.119995,185.619995,183.480270,1364400
2019-02-14,184.539993,185.220001,182.970001,183.919998,181.799850,1556900
2019-02-15,179.000000,179.500000,176.960007,179.300003,177.233124,4730700
2019-02-19,179.160004,181.800003,178.929993,180.250000,178.172165,1836400
2019-02-20,180.979996,183.020004,180.259995,181.910004,179.813049,1414700
2019-02-21,181.779999,183.460007,181.419998,182.279999,180.178757,1033800
2019-02-22,182.070007,182.279999,176.100006,180.490005,178.409409,2023300
2019-02-25,181.940002,183.649994,180.679993,181.070007,178.982727,1652900
2019-02-26,180.830002,183.960007,180.509995,181.710007,179.615341,1612600
2019-02-27,181.070007,182.240005,179.899994,181.809998,179.714188,966200
2019-02-28,181.460007,181.639999,180.210007,181.000000,178.913528,1260600
2019-03-01,182.020004,184.440002,182.000000,182.800003,180.692780,1473300
2019-03-04,184.070007,185.309998,179.899994,181.139999,179.051910,1694800
2019-03-05,180.440002,181.149994,178.550003,180.009995,177.934921,1474500
2019-03-06,180.589996,180.759995,177.350006,178.179993,176.126038,1441900
2019-03-07,176.199997,176.619995,172.080002,172.860001,170.867371,3743900
2019-03-08,169.850006,172.619995,167.610001,171.779999,170.440720,2059100
2019-03-11,172.089996,176.619995,171.860001,176.449997,175.074295,1683200
2019-03-12,177.000000,178.199997,175.570007,177.169998,175.788681,1506100
2019-03-13,178.279999,180.100006,177.449997,179.529999,178.130280,1222900
2019-03-14,179.240005,179.529999,177.500000,179.080002,177.683792,1217000
2019-03-15,179.479996,181.839996,177.589996,177.979996,176.592361,2481500
2019-03-18,178.130005,182.419998,178.130005,182.399994,180.977905,2230300
2019-03-19,183.820007,185.000000,180.679993,181.410004,179.995636,4277000
2019-03-20,172.750000,175.770004,169.660004,175.070007,173.705078,9287800
2019-03-21,174.449997,179.339996,172.490005,178.990005,177.594513,3156100
2019-03-22,177.550003,178.130005,173.839996,173.990005,172.633484,2439500
2019-03-25,173.919998,174.869995,171.369995,172.070007,170.728455,1851000
2019-03-26,173.250000,175.240005,172.470001,175.149994,173.784439,1430500
2019-03-27,175.119995,176.490005,174.589996,176.089996,174.717102,1571900
2019-03-28,174.850006,178.259995,174.850006,177.899994,176.512985,2031500
2019-03-29,179.020004,182.089996,178.910004,181.410004,179.995636,2171500
2019-04-01,182.270004,187.000000,182.220001,186.449997,184.996338,2340900
2019-04-02,186.509995,186.660004,183.679993,184.029999,182.595215,1553000
2019-04-03,185.589996,188.000000,184.279999,185.190002,183.746155,1263900
2019-04-04,184.800003,187.750000,184.800003,187.669998,186.206818,1303100
2019-04-05,187.929993,190.369995,187.259995,189.899994,188.419434,2301400
2019-04-08,189.139999,191.559998,188.399994,191.380005,189.887894,1595000
2019-04-09,189.899994,190.429993,188.850006,189.949997,188.469040,1435500
2019-04-10,190.000000,191.750000,189.500000,191.000000,189.510864,1069400
2019-04-11,191.350006,193.000000,190.960007,191.869995,190.374084,1541100
2019-04-12,194.000000,196.979996,193.179993,196.949997,195.414459,1651200
2019-04-15,197.000000,197.960007,195.550003,196.179993,194.650467,1829500
2019-04-16,196.250000,198.570007,195.869995,197.229996,195.692291,1457900
2019-04-17,198.479996,199.320007,196.919998,198.059998,196.515823,1116700
2019-04-18,198.470001,199.320007,197.820007,198.149994,196.605118,1391700
2019-04-22,197.080002,197.509995,195.199997,195.979996,194.452042,1529600
2019-04-23,195.520004,196.080002,194.639999,195.130005,193.608658,1727400
2019-04-24,195.100006,198.309998,194.550003,197.860001,196.317368,1511700
2019-04-25,195.759995,195.910004,188.630005,188.869995,187.397461,3086600
2019-04-26,185.240005,186.539993,182.889999,184.039993,182.605118,3638100
2019-04-29,184.509995,187.320007,183.160004,186.630005,185.174927,1471400
2019-04-30,186.940002,190.649994,185.559998,189.460007,187.982880,1562800
2019-05-01,189.729996,189.839996,185.619995,185.619995,184.172806,1432900
2019-05-02,185.360001,188.080002,182.809998,187.039993,185.581741,1477300
2019-05-03,188.720001,190.580002,187.750000,188.059998,186.593781,1229200
2019-05-06,183.210007,186.229996,181.610001,185.600006,184.152969,1290300
2019-05-07,183.259995,183.470001,178.110001,180.660004,179.251495,2152300
2019-05-08,180.059998,181.089996,178.300003,179.429993,178.031067,2029000
2019-05-09,177.380005,179.669998,175.940002,179.559998,178.160065,1601400
2019-05-10,178.759995,179.539993,174.809998,178.000000,176.612213,1475700
2019-05-13,172.809998,173.759995,170.789993,172.300003,170.956665,1781400
2019-05-14,172.600006,174.350006,170.740005,171.860001,170.520081,2248700
